"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1066","has title","firefox","Mon Jan 20 08:43:56 IST 2025","passed","Mon Jan 20 08:43:57 IST 2025","","example.spec.js","",""
"","30004","Test Case 5: Verify Logout Functionality","webkit","Mon Jan 20 08:06:53 IST 2025","broken","Mon Jan 20 08:07:23 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","4304","Verify logout functionality","webkit","Mon Jan 20 03:59:16 IST 2025","failed","Mon Jan 20 03:59:20 IST 2025","OrangeHRM Login Tests","login.spec.js","",""
"","10612","Test Case 1: Verify Login Page Loads Successfully","chromium","Mon Jan 20 08:21:27 IST 2025","passed","Mon Jan 20 08:21:38 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","999","Test Case 4: Handle invalid login with invalid credentials","webkit","Mon Jan 20 02:51:36 IST 2025","failed","Mon Jan 20 02:51:37 IST 2025","Login and Logout Tests","Login.spec.js","",""
"","5249","Test Case 5: Verify Logout Functionality","chromium","Mon Jan 20 08:21:27 IST 2025","failed","Mon Jan 20 08:21:32 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","1269","has title","chromium","Mon Jan 20 08:43:54 IST 2025","passed","Mon Jan 20 08:43:55 IST 2025","","example.spec.js","",""
"","30004","Test Case 5: Verify Logout Functionality","chromium","Mon Jan 20 09:15:46 IST 2025","broken","Mon Jan 20 09:16:16 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","877","get started link","firefox","Mon Jan 20 08:43:58 IST 2025","passed","Mon Jan 20 08:43:59 IST 2025","","example.spec.js","",""
"","832","get started link","webkit","Mon Jan 20 08:44:28 IST 2025","passed","Mon Jan 20 08:44:29 IST 2025","","example.spec.js","",""
"","28575","test","webkit","Sun Jan 19 22:24:30 IST 2025","failed","Sun Jan 19 22:24:59 IST 2025","","Login.spec.js","",""
"","6598","Test Case 3: Verify User is Redirected to Dashboard","webkit","Mon Jan 20 08:44:31 IST 2025","passed","Mon Jan 20 08:44:38 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","30004","Test Case 4: Handle Invalid Login","firefox","Mon Jan 20 08:44:20 IST 2025","broken","Mon Jan 20 08:44:50 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","2767","Test Case 2: Perform Valid Login","webkit","Mon Jan 20 08:44:41 IST 2025","passed","Mon Jan 20 08:44:44 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","10895","Test Case 1: Verify Login Page Loads Successfully","chromium","Mon Jan 20 09:15:46 IST 2025","passed","Mon Jan 20 09:15:56 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","7520","Test Case 4: Handle invalid login","webkit","Sun Jan 19 22:59:17 IST 2025","passed","Sun Jan 19 22:59:25 IST 2025","Login and Logout Tests","Login.spec.js","",""
"","1437","get started link","chromium","Mon Jan 20 08:43:54 IST 2025","passed","Mon Jan 20 08:43:56 IST 2025","","example.spec.js","",""
"","10292","Test Case 3: Verify User is Redirected to Dashboard","firefox","Mon Jan 20 08:44:09 IST 2025","passed","Mon Jan 20 08:44:19 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","333","Test Case 5: Verify logout functionality","webkit","Mon Jan 20 02:51:38 IST 2025","failed","Mon Jan 20 02:51:38 IST 2025","Login and Logout Tests","Login.spec.js","",""
"","4039","Login Test Cases","chromium","Sun Jan 19 20:24:24 IST 2025","failed","Sun Jan 19 20:24:28 IST 2025","","Login.spec.js","",""
"","2805","Test Case 2: Perform Valid Login","chromium","Mon Jan 20 09:15:58 IST 2025","passed","Mon Jan 20 09:16:01 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","1001","Test Case 2: Perform a valid login","webkit","Mon Jan 20 02:51:36 IST 2025","failed","Mon Jan 20 02:51:37 IST 2025","Login and Logout Tests","Login.spec.js","",""
"","2768","Test Case 2: Perform Valid Login","webkit","Mon Jan 20 08:07:07 IST 2025","passed","Mon Jan 20 08:07:09 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","2371","Test Case 2: Perform Valid Login","chromium","Mon Jan 20 08:21:39 IST 2025","failed","Mon Jan 20 08:21:41 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","12293","Test Case 1: Verify Login Page Loads Successfully","webkit","Mon Jan 20 08:06:53 IST 2025","passed","Mon Jan 20 08:07:05 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","11009","Test Case 1: Verify Login Page Loads Successfully","firefox","Mon Jan 20 08:43:59 IST 2025","passed","Mon Jan 20 08:44:10 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","1004","Test Case 1: Verify that the login page loads successfully","webkit","Mon Jan 20 02:51:36 IST 2025","failed","Mon Jan 20 02:51:37 IST 2025","Login and Logout Tests","Login.spec.js","",""
"","6872","Test Case 3: Verify User is Redirected to Dashboard","webkit","Mon Jan 20 08:06:53 IST 2025","failed","Mon Jan 20 08:07:00 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","30004","Test Case 5: Verify Logout Functionality","firefox","Mon Jan 20 08:44:14 IST 2025","broken","Mon Jan 20 08:44:44 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","30001","Test Case 5: Verify Logout Functionality","webkit","Mon Jan 20 08:44:44 IST 2025","broken","Mon Jan 20 08:45:14 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","30002","Test Case 4: Handle Invalid Login","webkit","Mon Jan 20 08:44:38 IST 2025","broken","Mon Jan 20 08:45:08 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","3905","Login Test Cases","firefox","Sun Jan 19 20:13:56 IST 2025","failed","Sun Jan 19 20:14:00 IST 2025","","Login.spec.js","",""
"","3835","Login Test Cases","webkit","Sun Jan 19 20:39:38 IST 2025","failed","Sun Jan 19 20:39:41 IST 2025","","Login.spec.js","",""
"","5881","Test Case 3: Verify User is Redirected to Dashboard","chromium","Mon Jan 20 09:15:46 IST 2025","passed","Mon Jan 20 09:15:51 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","1295","has title","webkit","Mon Jan 20 08:44:26 IST 2025","passed","Mon Jan 20 08:44:28 IST 2025","","example.spec.js","",""
"","12364","Test Case 1: Verify Login Page Loads Successfully","webkit","Mon Jan 20 08:44:29 IST 2025","passed","Mon Jan 20 08:44:41 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","1001","Test Case 3: Verify that the user is redirected to the dashboard","webkit","Mon Jan 20 02:51:36 IST 2025","failed","Mon Jan 20 02:51:37 IST 2025","Login and Logout Tests","Login.spec.js","",""
"","4246","Verify login page loads and elements are visible","webkit","Mon Jan 20 03:59:16 IST 2025","failed","Mon Jan 20 03:59:20 IST 2025","OrangeHRM Login Tests","login.spec.js","",""
"","4311","Perform valid login and verify dashboard","webkit","Mon Jan 20 03:59:16 IST 2025","failed","Mon Jan 20 03:59:20 IST 2025","OrangeHRM Login Tests","login.spec.js","",""
"","3476","Test Case 2: Perform Valid Login","firefox","Mon Jan 20 08:44:10 IST 2025","passed","Mon Jan 20 08:44:14 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","30004","Test Case 4: Handle Invalid Login","chromium","Mon Jan 20 09:15:53 IST 2025","broken","Mon Jan 20 09:16:23 IST 2025","OrangeHRM Login and Dashboard","login.spec.js","",""
"","5289","Test Case 3: Verify User is Redirected to Dashboard","chromium","Mon Jan 20 08:21:27 IST 2025","failed","Mon Jan 20 08:21:32 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","4346","Handle invalid login","webkit","Mon Jan 20 03:59:16 IST 2025","failed","Mon Jan 20 03:59:20 IST 2025","OrangeHRM Login Tests","login.spec.js","",""
"","8042","Test Case 4: Handle Invalid Login","webkit","Mon Jan 20 08:07:01 IST 2025","passed","Mon Jan 20 08:07:09 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","6775","Test Case 4: Handle Invalid Login","chromium","Mon Jan 20 08:21:34 IST 2025","passed","Mon Jan 20 08:21:41 IST 2025","OrangeHRM Login and Dashboard","login.test.js","",""
"","30022","test","chromium","Sun Jan 19 22:13:21 IST 2025","broken","Sun Jan 19 22:13:51 IST 2025","","Login.spec.js","",""
